,pdf_name,ticker_id,submission_date,reporting_period_start,reporting_period_end,company_name,shares_issued,shares_held,approved_buyback_stocks,approved_buyback_stocks_yen,total_treasury_stocks_acquired,total_treasury_stocks_acquired_yen,cumulative_treasury_stocks_acquired,cumulative_treasury_stocks_acquired_yen,reporting_period_date,treasury_stock,treasury_stock_yen,disposed_stock,disposed_stock_yen
0,S100T9LP.pdf,E03752,2024-05-14,2024-04-01,2024-04-30,"nomura holdings, inc.",3163562601.0,228605254.0,,,36574800.0,33871525690.0,,,2024-04-01,2132900.0,2025390360.0,56900.0,4615900.0
1,,,,,,,,,,,,,,,2024-04-02,1814500.0,1689792890.0,18400.0,6737400.0
2,,,,,,,,,,,,,,,2024-04-03,1940000.0,1796747180.0,12000.0,7875000.0
3,,,,,,,,,,,,,,,2024-04-04,1380000.0,1308573790.0,,
4,,,,,,,,,,,,,,,2024-04-05,2132900.0,1964391750.0,2000.0,1257000.0
5,,,,,,,,,,,,,,,2024-04-08,1934500.0,1833830250.0,22000.0,594000.0
6,,,,,,,,,,,,,,,2024-04-09,1791400.0,1697981930.0,,
7,,,,,,,,,,,,,,,2024-04-10,1860.0,0.0,23700.0,3327700.0
8,,,,,,,,,,,,,,,2024-04-11,1934500.0,1837735060.0,88700.0,3170700.0
9,,,,,,,,,,,,,,,2024-04-12,1934500.0,1853484420.0,3100.0,3100.0
10,,,,,,,,,,,,,,,2024-04-15,1770000.0,1669692230.0,80100.0,1335100.0
11,,,,,,,,,,,,,,,2024-04-16,1845000.0,1717183210.0,9900.0,9900.0
12,,,,,,,,,,,,,,,2024-04-17,1845100.0,1671267230.0,25500.0,3679500.0
13,,,,,,,,,,,,,,,2024-04-18,1630000.0,1465570510.0,15600.0,587600.0
14,,,,,,,,,,,,,,,2024-04-19,1845100.0,1637202560.0,15700.0,5146700.0
15,,,,,,,,,,,,,,,2024-04-22,1763800.0,1578198020.0,4000.0,2625000.0
16,,,,,,,,,,,,,,,2024-04-23,1763800.0,1594959810.0,3000.0,1830000.0
17,,,,,,,,,,,,,,,2024-04-24,1730000.0,1580394510.0,3000.0,1941000.0
18,,,,,,,,,,,,,,,2024-04-25,1763800.0,1596940370.0,13000.0,8670000.0
19,,,,,,,,,,,,,,,2024-04-26,1763000.0,1602964430.0,2000.0,1368000.0
20,,,,,,,,,,,,,,,2024-04-30,,,5000.0,3087000.0
