,pdf_name,ticker_id,submission_date,reporting_period_start,reporting_period_end,company_name,shares_issued,shares_held,total_treasury_stocks_acquired,total_treasury_stocks_acquired_yen,reporting_period_date,treasury_stock,treasury_stock_yen,disposed_stock,disposed_stock_yen
0,S100U204.pdf,E01777,2024-07-12,2024-06-01,2024-06-30,sony group corporation,1248619589.0,30868630.0,2680700.0,35210255014.0,2024-06-03,182000,2384749003,,
1,,,,,,,,,,,2024-06-04,230000,3071962501,36200.0,380183984.0
2,,,,,,,,,,,2024-06-05,173200,2324481503,700.0,7351624.0
3,,,,,,,,,,,2024-06-06,259500,3531701009,,
4,,,,,,,,,,,2024-06-07,127100,1703856996,3900.0,40959048.0
5,,,,,,,,,,,2024-06-10,107200,1435210001,,
6,,,,,,,,,,,2024-06-11,108500,1447076500,,
7,,,,,,,,,,,2024-06-12,143800,1888883994,3900.0,40959048.0
8,,,,,,,,,,,2024-06-13,208,800,56600.0,594431312.0
9,,,,,,,,,,,2024-06-14,279800,3659761504,,
10,,,,,,,,,,,2024-06-17,163300,2074858495,100.0,1050232.0
11,,,,,,,,,,,2024-06-18,145300,1839290497,10000.0,105023200.0
12,,,,,,,,,,,2024-06-19,158000,2011494998,100.0,1050232.0
13,,,,,,,,,,,2024-06-20,101800,1300382002,,
14,,,,,,,,,,,2024-06-21,292400,3759385513,,
