,file_name,edinet_id,submission_date,reporting_period_start,reporting_period_end,company_name,shares_issued,shares_held,resolution_status_shares,resolution_status_shares_yen,buyback_meeting_date,buyback_period_start,buyback_period_end,total_shares_acquired,total_shares_acquired_yen,cumulative_shares_acquired,cumulative_shares_acquired_yen,reporting_period_date,acquired_shares,acquired_shares_yen,disposed_share,disposed_share_yen
0,S100RJ55_XBRL,E04874,2023-08-07,2023-07-01,2023-07-31,"AEON DELIGHT CO., LTD.",50669633.0,2144797.0,"1,500,000","5,300,000,000",2022年10月４日,2022年10月５日,2023年10月４日,"221,700","654,913,400","1,500,000","4,452,488,300",2023-07-03,7900,24252000,,
1,,,,,,,,,,,,,,,,,,2023-07-04,16000,48446000,,
2,,,,,,,,,,,,,,,,,,2023-07-05,6000,18036600,,
3,,,,,,,,,,,,,,,,,,2023-07-06,10500,31527200,,
4,,,,,,,,,,,,,,,,,,2023-07-07,11000,32870200,,
5,,,,,,,,,,,,,,,,,,2023-07-10,13100,39618500,,
6,,,,,,,,,,,,,,,,,,2023-07-11,21500,64800000,,
7,,,,,,,,,,,,,,,,,,2023-07-12,51600,152195000,,
8,,,,,,,,,,,,,,,,,,2023-07-13,36900,106609800,,
9,,,,,,,,,,,,,,,,,,2023-07-14,28400,82257700,,
10,,,,,,,,,,,,,,,,,,2023-07-18,18800,54300400,,
